n	1.0e-04	1.0e-03	1.0e-02	1.0e-01	1.0e+00	1.0e+01	1.0e+02	1.0e+03	1.0e+04
124	0.666665	0.666649	0.666488	0.664879	0.649215	0.525424	0.180758	0.023911	0.002471	
125	0.666665	0.666649	0.666489	0.664894	0.649351	0.526316	0.181818	0.024096	0.002491	
126	0.666665	0.666649	0.666490	0.664908	0.649485	0.527197	0.182874	0.024282	0.002511	
127	0.666665	0.666649	0.666492	0.664921	0.649616	0.528067	0.183925	0.024468	0.002530	
128	0.666665	0.666649	0.666493	0.664935	0.649746	0.528926	0.184971	0.024653	0.002550	
129	0.666665	0.666649	0.666494	0.664948	0.649874	0.529774	0.186013	0.024839	0.002570	
130	0.666665	0.666650	0.666496	0.664962	0.650000	0.530612	0.187050	0.025024	0.002590	
131	0.666665	0.666650	0.666497	0.664975	0.650124	0.531440	0.188083	0.025209	0.002610	
132	0.666665	0.666650	0.666498	0.664987	0.650246	0.532258	0.189112	0.025394	0.002630	
133	0.666665	0.666650	0.666500	0.665000	0.650367	0.533066	0.190136	0.025579	0.002649	
134	0.666665	0.666650	0.666501	0.665012	0.650485	0.533865	0.191155	0.025764	0.002669	
135	0.666665	0.666650	0.666502	0.665025	0.650602	0.534653	0.192171	0.025949	0.002689	
136	0.666665	0.666650	0.666503	0.665037	0.650718	0.535433	0.193182	0.026134	0.002709	
137	0.666665	0.666650	0.666505	0.665049	0.650831	0.536204	0.194189	0.026318	0.002729	
138	0.666665	0.666651	0.666506	0.665060	0.650943	0.536965	0.195191	0.026503	0.002749	
139	0.666665	0.666651	0.666507	0.665072	0.651054	0.537718	0.196189	0.026687	0.002768	
140	0.666665	0.666651	0.666508	0.665083	0.651163	0.538462	0.197183	0.026871	0.002788	
141	0.666665	0.666651	0.666509	0.665094	0.651270	0.539197	0.198173	0.027056	0.002808	
142	0.666665	0.666651	0.666510	0.665105	0.651376	0.539924	0.199158	0.027240	0.002828	
143	0.666665	0.666651	0.666511	0.665116	0.651481	0.540643	0.200140	0.027424	0.002848	
144	0.666665	0.666651	0.666512	0.665127	0.651584	0.541353	0.201117	0.027607	0.002868	
145	0.666665	0.666651	0.666513	0.665138	0.651685	0.542056	0.202091	0.027791	0.002887	
146	0.666665	0.666651	0.666514	0.665148	0.651786	0.542751	0.203060	0.027975	0.002907	
147	0.666665	0.666652	0.666516	0.665158	0.651885	0.543438	0.204025	0.028158	0.002927	
148	0.666665	0.666652	0.666517	0.665169	0.651982	0.544118	0.204986	0.028342	0.002947	
149	0.666665	0.666652	0.666518	0.665179	0.652079	0.544790	0.205943	0.028525	0.002967	
