tb	Rb
10.280000	2.794222
10.290000	2.793873
10.300000	2.793523
10.310000	2.793172
10.320000	2.792821
10.330000	2.792469
10.340000	2.792117
10.350000	2.791764
10.360000	2.791411
10.370000	2.791058
10.380000	2.790704
10.390000	2.790349
10.400000	2.789994
10.410000	2.789639
10.420000	2.789283
10.430000	2.788926
10.440000	2.788569
10.450000	2.788212
10.460000	2.787854
10.470000	2.787496
10.480000	2.787137
10.490000	2.786778
10.500000	2.786418
10.510000	2.786057
10.520000	2.785697
10.530000	2.785335
10.540000	2.784974
10.550000	2.784611
10.560000	2.784249
10.570000	2.783885
10.580000	2.783522
10.590000	2.783157
10.600000	2.782793
10.610000	2.782428
10.620000	2.782062
10.630000	2.781696
10.640000	2.781329
10.650000	2.780962
10.660000	2.780594
10.670000	2.780226
10.680000	2.779858
10.690000	2.779489
10.700000	2.779119
10.710000	2.778749
10.720000	2.778378
10.730000	2.778007
10.740000	2.777636
10.750000	2.777264
10.760000	2.776891
10.770000	2.776518
10.780000	2.776145
10.790000	2.775771
10.800000	2.775397
10.810000	2.775022
10.820000	2.774646
10.830000	2.774270
10.840000	2.773894
10.850000	2.773517
10.860000	2.773139
10.870000	2.772762
10.880000	2.772383
10.890000	2.772004
10.900000	2.771625
10.910000	2.771245
10.920000	2.770865
10.930000	2.770484
10.940000	2.770103
10.950000	2.769721
10.960000	2.769338
10.970000	2.768956
10.980000	2.768572
10.990000	2.768188
11.000000	2.767804
11.010000	2.767419
11.020000	2.767034
11.030000	2.766648
11.040000	2.766262
11.050000	2.765875
11.060000	2.765488
11.070000	2.765100
11.080000	2.764712
11.090000	2.764323
11.100000	2.763934
11.110000	2.763544
11.120000	2.763154
11.130000	2.762763
11.140000	2.762372
11.150000	2.761980
11.160000	2.761588
11.170000	2.761195
11.180000	2.760802
11.190000	2.760409
11.200000	2.760014
11.210000	2.759620
11.220000	2.759224
11.230000	2.758829
11.240000	2.758433
11.250000	2.758036
11.260000	2.757639
11.270000	2.757241
11.280000	2.756843
11.290000	2.756444
11.300000	2.756045
11.310000	2.755645
11.320000	2.755245
11.330000	2.754845
11.340000	2.754443
11.350000	2.754042
11.360000	2.753640
11.370000	2.753237
11.380000	2.752834
11.390000	2.752430
11.400000	2.752026
11.410000	2.751621
11.420000	2.751216
11.430000	2.750811
11.440000	2.750405
11.450000	2.749998
11.460000	2.749591
11.470000	2.749183
11.480000	2.748775
11.490000	2.748367
11.500000	2.747957
11.510000	2.747548
11.520000	2.747138
11.530000	2.746727
11.540000	2.746316
11.550000	2.745904
11.560000	2.745492
11.570000	2.745080
11.580000	2.744667
11.590000	2.744253
11.600000	2.743839
11.610000	2.743424
11.620000	2.743009
11.630000	2.742594
11.640000	2.742177
11.650000	2.741761
11.660000	2.741344
11.670000	2.740926
11.680000	2.740508
11.690000	2.740090
11.700000	2.739670
11.710000	2.739251
11.720000	2.738831
11.730000	2.738410
11.740000	2.737989
11.750000	2.737568
11.760000	2.737146
11.770000	2.736723
11.780000	2.736300
11.790000	2.735876
11.800000	2.735452
11.810000	2.735028
11.820000	2.734603
11.830000	2.734177
11.840000	2.733751
11.850000	2.733324
11.860000	2.732897
11.870000	2.732470
11.880000	2.732042
11.890000	2.731613
11.900000	2.731184
11.910000	2.730755
11.920000	2.730325
11.930000	2.729894
11.940000	2.729463
11.950000	2.729031
11.960000	2.728599
11.970000	2.728167
11.980000	2.727734
11.990000	2.727300
12.000000	2.726866
12.010000	2.726432
12.020000	2.725997
12.030000	2.725561
12.040000	2.725125
12.050000	2.724689
12.060000	2.724252
12.070000	2.723814
12.080000	2.723376
12.090000	2.722938
12.100000	2.722499
12.110000	2.722059
12.120000	2.721619
12.130000	2.721179
12.140000	2.720738
12.150000	2.720296
12.160000	2.719854
12.170000	2.719412
12.180000	2.718969
12.190000	2.718525
12.200000	2.718082
12.210000	2.717637
12.220000	2.717192
12.230000	2.716747
12.240000	2.716301
12.250000	2.715854
12.260000	2.715407
12.270000	2.714960
12.280000	2.714512
12.290000	2.714064
12.300000	2.713615
12.310000	2.713165
12.320000	2.712715
12.330000	2.712265
12.340000	2.711814
12.350000	2.711363
12.360000	2.710911
12.370000	2.710459
12.380000	2.710006
12.390000	2.709552
12.400000	2.709099
12.410000	2.708644
12.420000	2.708190
12.430000	2.707734
12.440000	2.707278
12.450000	2.706822
12.460000	2.706365
12.470000	2.705908
12.480000	2.705450
12.490000	2.704992
12.500000	2.704533
12.510000	2.704074
12.520000	2.703614
12.530000	2.703154
12.540000	2.702693
12.550000	2.702232
12.560000	2.701771
12.570000	2.701308
12.580000	2.700846
12.590000	2.700383
12.600000	2.699919
12.610000	2.699455
12.620000	2.698990
12.630000	2.698525
12.640000	2.698060
12.650000	2.697594
12.660000	2.697127
12.670000	2.696660
12.680000	2.696192
12.690000	2.695724
12.700000	2.695256
12.710000	2.694787
12.720000	2.694317
12.730000	2.693847
12.740000	2.693377
12.750000	2.692906
12.760000	2.692435
12.770000	2.691963
12.780000	2.691490
12.790000	2.691018
12.800000	2.690544
12.810000	2.690070
12.820000	2.689596
12.830000	2.689121
12.840000	2.688646
12.850000	2.688170
12.860000	2.687694
12.870000	2.687217
12.880000	2.686740
12.890000	2.686262
12.900000	2.685784
12.910000	2.685306
12.920000	2.684827
12.930000	2.684347
12.940000	2.683867
12.950000	2.683386
12.960000	2.682905
12.970000	2.682424
12.980000	2.681942
12.990000	2.681459
13.000000	2.680976
13.010000	2.680493
13.020000	2.680009
13.030000	2.679525
13.040000	2.679040
13.050000	2.678555
13.060000	2.678069
13.070000	2.677583
13.080000	2.677096
13.090000	2.676609
13.100000	2.676121
13.110000	2.675633
13.120000	2.675144
13.130000	2.674655
13.140000	2.674166
13.150000	2.673676
13.160000	2.673185
13.170000	2.672694
13.180000	2.672203
13.190000	2.671711
13.200000	2.671218
13.210000	2.670726
13.220000	2.670232
13.230000	2.669739
13.240000	2.669244
13.250000	2.668750
13.260000	2.668254
13.270000	2.667759
13.280000	2.667263
13.290000	2.666766
13.300000	2.666269
13.310000	2.665772
13.320000	2.665274
13.330000	2.664775
13.340000	2.664276
13.350000	2.663777
13.360000	2.663277
13.370000	2.662777
13.380000	2.662276
13.390000	2.661775
13.400000	2.661273
13.410000	2.660771
13.420000	2.660269
13.430000	2.659766
13.440000	2.659262
13.450000	2.658758
13.460000	2.658254
13.470000	2.657749
13.480000	2.657244
13.490000	2.656738
13.500000	2.656232
13.510000	2.655725
13.520000	2.655218
13.530000	2.654710
13.540000	2.654202
13.550000	2.653694
13.560000	2.653185
13.570000	2.652675
13.580000	2.652166
13.590000	2.651655
13.600000	2.651145
13.610000	2.650633
13.620000	2.650122
13.630000	2.649610
13.640000	2.649097
13.650000	2.648584
13.660000	2.648071
13.670000	2.647557
13.680000	2.647043
13.690000	2.646528
13.700000	2.646013
13.710000	2.645497
13.720000	2.644981
13.730000	2.644464
13.740000	2.643947
13.750000	2.643430
13.760000	2.642912
13.770000	2.642394
13.780000	2.641875
13.790000	2.641356
13.800000	2.640836
13.810000	2.640316
13.820000	2.639796
13.830000	2.639275
13.840000	2.638754
13.850000	2.638232
13.860000	2.637710
13.870000	2.637187
13.880000	2.636664
13.890000	2.636141
13.900000	2.635617
13.910000	2.635092
13.920000	2.634567
13.930000	2.634042
13.940000	2.633517
13.950000	2.632991
13.960000	2.632464
