tiempo	I(t)
11.420000	0.086694
11.430000	0.086845
11.440000	0.086996
11.450000	0.087148
11.460000	0.087300
11.470000	0.087451
11.480000	0.087603
11.490000	0.087756
11.500000	0.087908
11.510000	0.088061
11.520000	0.088214
11.530000	0.088367
11.540000	0.088521
11.550000	0.088674
11.560000	0.088828
11.570000	0.088982
11.580000	0.089137
11.590000	0.089291
11.600000	0.089446
11.610000	0.089601
11.620000	0.089756
11.630000	0.089912
11.640000	0.090067
11.650000	0.090223
11.660000	0.090379
11.670000	0.090536
11.680000	0.090692
11.690000	0.090849
11.700000	0.091006
11.710000	0.091163
11.720000	0.091321
11.730000	0.091479
11.740000	0.091637
11.750000	0.091795
11.760000	0.091953
11.770000	0.092112
11.780000	0.092271
11.790000	0.092430
11.800000	0.092589
11.810000	0.092749
11.820000	0.092909
11.830000	0.093069
11.840000	0.093229
11.850000	0.093389
11.860000	0.093550
11.870000	0.093711
11.880000	0.093872
11.890000	0.094034
11.900000	0.094195
11.910000	0.094357
11.920000	0.094519
11.930000	0.094682
11.940000	0.094844
11.950000	0.095007
11.960000	0.095170
11.970000	0.095333
11.980000	0.095497
11.990000	0.095661
12.000000	0.095825
12.010000	0.095989
12.020000	0.096153
12.030000	0.096318
12.040000	0.096483
12.050000	0.096648
12.060000	0.096814
12.070000	0.096979
12.080000	0.097145
12.090000	0.097311
12.100000	0.097477
12.110000	0.097644
12.120000	0.097811
12.130000	0.097978
12.140000	0.098145
12.150000	0.098313
12.160000	0.098480
12.170000	0.098648
12.180000	0.098817
12.190000	0.098985
12.200000	0.099154
12.210000	0.099323
12.220000	0.099492
12.230000	0.099661
12.240000	0.099831
12.250000	0.100001
12.260000	0.100171
12.270000	0.100341
12.280000	0.100512
12.290000	0.100683
12.300000	0.100854
12.310000	0.101025
12.320000	0.101197
12.330000	0.101368
12.340000	0.101540
12.350000	0.101713
12.360000	0.101885
12.370000	0.102058
12.380000	0.102231
12.390000	0.102404
12.400000	0.102578
12.410000	0.102751
12.420000	0.102925
12.430000	0.103100
12.440000	0.103274
12.450000	0.103449
12.460000	0.103624
12.470000	0.103799
12.480000	0.103974
12.490000	0.104150
12.500000	0.104326
12.510000	0.104502
12.520000	0.104678
12.530000	0.104855
12.540000	0.105032
12.550000	0.105209
12.560000	0.105386
12.570000	0.105564
12.580000	0.105741
12.590000	0.105919
12.600000	0.106098
12.610000	0.106276
12.620000	0.106455
12.630000	0.106634
12.640000	0.106813
12.650000	0.106993
12.660000	0.107173
12.670000	0.107353
12.680000	0.107533
12.690000	0.107713
12.700000	0.107894
12.710000	0.108075
12.720000	0.108256
12.730000	0.108438
12.740000	0.108620
12.750000	0.108802
12.760000	0.108984
12.770000	0.109166
12.780000	0.109349
12.790000	0.109532
12.800000	0.109715
12.810000	0.109899
12.820000	0.110082
12.830000	0.110266
12.840000	0.110450
12.850000	0.110635
12.860000	0.110819
12.870000	0.111004
12.880000	0.111190
12.890000	0.111375
12.900000	0.111561
12.910000	0.111746
12.920000	0.111933
12.930000	0.112119
12.940000	0.112306
12.950000	0.112493
12.960000	0.112680
12.970000	0.112867
12.980000	0.113055
12.990000	0.113243
13.000000	0.113431
