tb	Rc
6.860000	2.883566
6.870000	2.883348
6.880000	2.883130
6.890000	2.882911
6.900000	2.882692
6.910000	2.882472
6.920000	2.882253
6.930000	2.882032
6.940000	2.881812
6.950000	2.881591
6.960000	2.881369
6.970000	2.881148
6.980000	2.880926
6.990000	2.880703
7.000000	2.880480
7.010000	2.880257
7.020000	2.880034
7.030000	2.879810
7.040000	2.879586
7.050000	2.879361
7.060000	2.879136
7.070000	2.878910
7.080000	2.878685
7.090000	2.878458
7.100000	2.878232
7.110000	2.878005
7.120000	2.877778
7.130000	2.877550
7.140000	2.877322
7.150000	2.877094
7.160000	2.876865
7.170000	2.876636
7.180000	2.876406
7.190000	2.876176
7.200000	2.875946
7.210000	2.875715
7.220000	2.875484
7.230000	2.875252
7.240000	2.875021
7.250000	2.874788
7.260000	2.874556
7.270000	2.874323
7.280000	2.874089
7.290000	2.873856
7.300000	2.873621
7.310000	2.873387
7.320000	2.873152
7.330000	2.872917
7.340000	2.872681
7.350000	2.872445
7.360000	2.872208
7.370000	2.871972
7.380000	2.871734
7.390000	2.871497
7.400000	2.871259
7.410000	2.871020
7.420000	2.870782
7.430000	2.870542
7.440000	2.870303
7.450000	2.870063
7.460000	2.869822
7.470000	2.869582
7.480000	2.869340
7.490000	2.869099
7.500000	2.868857
7.510000	2.868615
7.520000	2.868372
7.530000	2.868129
7.540000	2.867885
7.550000	2.867641
7.560000	2.867397
7.570000	2.867152
7.580000	2.866907
7.590000	2.866662
7.600000	2.866416
7.610000	2.866169
7.620000	2.865923
7.630000	2.865676
7.640000	2.865428
7.650000	2.865180
7.660000	2.864932
7.670000	2.864683
7.680000	2.864434
7.690000	2.864185
7.700000	2.863935
7.710000	2.863684
7.720000	2.863434
7.730000	2.863182
7.740000	2.862931
7.750000	2.862679
7.760000	2.862427
7.770000	2.862174
7.780000	2.861921
7.790000	2.861667
7.800000	2.861413
7.810000	2.861159
7.820000	2.860904
7.830000	2.860649
7.840000	2.860393
7.850000	2.860137
7.860000	2.859881
7.870000	2.859624
7.880000	2.859366
7.890000	2.859109
7.900000	2.858851
7.910000	2.858592
